firm,time,be
1101,200012,47142977
1102,200012,34311130
1103,200012,13005472
1104,200012,5661683
1108,200012,4345278
1109,200012,5481343
1110,200012,7459141
1201,200012,3742585
1203,200012,2453154
1210,200012,5839520
1213,200012,560331
1215,200012,2619837
1216,200012,39492719
1217,200012,3523241
1218,200012,3234917
1219,200012,2738752
1220,200012,2200866
1225,200012,2064108
1227,200012,3822437
1229,200012,9193170
1231,200012,1779289
1232,200012,1920892
1233,200012,937324
1234,200012,7702595
1235,200012,530596
1236,200012,777331
1301,200012,86824580
1303,200012,142467757
1304,200012,10209886
1305,200012,5446675
1307,200012,2665512
1308,200012,3689097
1309,200012,3838861
1310,200012,6512324
1312,200012,10694979
1313,200012,9305774
1314,200012,18371207
1315,200012,3249949
1316,200012,1044983
1319,200012,4449001
1321,200012,2639107
1323,200012,852215
1324,200012,895067
1325,200012,1144163
1326,200012,87307542
1402,200012,65982200
1409,200012,11108097
1410,200012,1100030
1413,200012,2685875
1414,200012,2511582
1416,200012,5860414
1417,200012,4519125
1418,200012,2910950
1419,200012,3404061
1423,200012,2161189
1432,200012,1518129
1434,200012,19329606
1435,200012,1418078
1436,200012,3503952
1437,200012,2141759
1438,200012,600314
1439,200012,1324596
1440,200012,18772887
1441,200012,1941176
1442,200012,1281295
1443,200012,3609308
1444,200012,7739019
1445,200012,2286041
1446,200012,4468322
1447,200012,6435998
1449,200012,5935827
1451,200012,7276824
1452,200012,1602153
1453,200012,1187428
1454,200012,1849562
1455,200012,4949624
1456,200012,2551844
1457,200012,4088592
1459,200012,4110803
1460,200012,6228292
1463,200012,2417358
1464,200012,1426217
1465,200012,1607617
1466,200012,1150303
1467,200012,1298399
1468,200012,1927985
1470,200012,877584
1471,200012,1308974
1472,200012,1213876
1473,200012,2395002
1474,200012,825351
1475,200012,959787
1476,200012,1273284
1477,200012,485350
1503,200012,8890312
1504,200012,32529709
1506,200012,1241281
1512,200012,1964372
1513,200012,7044208
1514,200012,2502998
1515,200012,3012196
1516,200012,1390197
1517,200012,2542871
1519,200012,2440570
1521,200012,1099231
1522,200012,3157962
1524,200012,1272497
1525,200012,827980
1526,200012,925592
1527,200012,1648612
1528,200012,1179546
1529,200012,845977
1530,200012,523012
1531,200012,2257584
1532,200012,2324762
1533,200012,1215606
1535,200012,1007437
1536,200012,675080
1537,200012,567734
1538,200012,1329016
1539,200012,844688
1540,200012,731873
1541,200012,507345
1558,200012,381175
1560,200012,1008553
1568,200012,252303
1582,200012,32823
1583,200012,624634
1603,200012,3432372
1604,200012,13896906
1605,200012,59102202
1608,200012,7570039
1609,200012,6417321
1611,200012,4702227
1612,200012,4198673
1614,200012,4810932
1615,200012,1054424
1616,200012,1786537
1617,200012,1427015
1618,200012,2017052
1701,200012,3433235
1702,200012,2042402
1707,200012,1404896
1708,200012,2674809
1709,200012,2620449
1710,200012,5427561
1711,200012,4805717
1712,200012,3980322
1713,200012,2039290
1714,200012,7190803
1717,200012,8544823
1718,200012,7503926
1720,200012,1425242
1721,200012,767312
1722,200012,29527284
1723,200012,2201708
1725,200012,583749
1726,200012,3487300
1727,200012,692831
1730,200012,473578
1731,200012,1031925
1732,200012,469515
1733,200012,477051
1734,200012,510871
1735,200012,698119
1736,200012,609569
1737,200012,38475399
1752,200012,464480
1760,200012,209488
1762,200012,471163
1773,200012,1129495
1776,200012,338535
1783,200012,103327
1789,200012,1755672
1795,200012,31747
1802,200012,23537235
1805,200012,1916884
1806,200012,3296666
1808,200012,294280
1809,200012,1947357
1810,200012,6880865
1903,200012,4151621
1904,200012,12428650
1905,200012,7443449
1906,200012,1231529
1907,200012,15287507
1909,200012,5694922
2002,200012,134654480
2006,200012,10838604
2007,200012,6529965
2008,200012,3771802
2009,200012,3368726
2010,200012,7437501
2012,200012,2866272
2013,200012,2470800
2014,200012,10935756
2015,200012,6517956
2017,200012,3951869
2020,200012,1379318
2022,200012,3503423
2023,200012,10730331
2024,200012,1522194
2025,200012,2638621
2027,200012,3184998
2028,200012,3952778
2029,200012,5826502
2030,200012,1051747
2031,200012,1429950
2032,200012,1078683
2033,200012,705068
2034,200012,1413359
2038,200012,1475421
2049,200012,1369712
2059,200012,446377
2101,200012,1920039
2102,200012,2805909
2103,200012,7429601
2104,200012,7732433
2105,200012,12245264
2106,200012,4158869
2107,200012,3859788
2108,200012,2332064
2109,200012,3105491
2114,200012,190424
2201,200012,35798697
2204,200012,29780965
2206,200012,11701945
2207,200012,11156559
2208,200012,3103694
2211,200012,4071457
2228,200012,188714
2301,200012,12924974
2302,200012,4960745
2303,200012,229101538
2305,200012,3779623
2308,200012,25014525
2312,200012,13596805
2313,200012,15706958
2314,200012,4239223
2316,200012,8038030
2317,200012,44250896
2321,200012,3836926
2323,200012,37516137
2324,200012,31108089
2327,200012,32447144
2328,200012,5268389
2329,200012,14255665
2330,200012,262075425
2331,200012,3309748
2332,200012,8507053
2337,200012,44573427
2338,200012,4490596
2340,200012,6063439
2342,200012,52523570
2344,200012,78110547
2345,200012,7517670
2347,200012,13720286
2348,200012,2993133
2349,200012,62959332
2351,200012,2148203
2352,200012,28923133
2353,200012,5988794
2354,200012,1836819
2355,200012,5069753
2356,200012,21669139
2357,200012,54161156
2358,200012,1235700
2359,200012,5742137
2360,200012,3303153
2362,200012,4974557
2363,200012,18442694
2364,200012,4600972
2365,200012,2825592
2367,200012,6092750
2368,200012,7475000
2369,200012,3993625
2371,200012,69020918
2373,200012,7342563
2374,200012,2340462
2375,200012,2686158
2376,200012,12819291
2377,200012,8654979
2379,200012,5127997
2380,200012,2993956
2382,200012,31850839
2383,200012,2170388
2385,200012,2190788
2387,200012,1365648
2388,200012,21321583
2390,200012,3503909
2392,200012,3585734
2393,200012,3290622
2395,200012,3231773
2397,200012,2622138
2399,200012,1289384
2401,200012,7141400
2402,200012,1889561
2404,200012,2423071
2405,200012,2176210
2406,200012,4926057
2408,200012,35209724
2409,200012,22988644
2412,200012,335899003
2413,200012,2686944
2414,200012,1514788
2415,200012,1245511
2417,200012,1474285
2419,200012,1663717
2420,200012,1298842
2421,200012,1768712
2423,200012,1010663
2424,200012,896127
2425,200012,1582670
2426,200012,1290118
2427,200012,2770440
2428,200012,1149852
2429,200012,1116776
2430,200012,5650384
2431,200012,1715062
2433,200012,2225207
2434,200012,821858
2436,200012,2234577
2438,200012,3767269
2439,200012,1715260
2440,200012,1526627
2441,200012,3065214
2442,200012,2502671
2443,200012,4420470
2444,200012,1677676
2449,200012,9182725
2450,200012,1798742
2451,200012,2380644
2453,200012,1524530
2454,200012,6610074
2455,200012,1371805
2457,200012,3067642
2458,200012,3452008
2459,200012,1263758
2460,200012,692778
2461,200012,1727133
2462,200012,688416
2464,200012,776800
2465,200012,1351332
2466,200012,518696
2467,200012,966482
2468,200012,866863
2471,200012,891205
2472,200012,2216909
2474,200012,2502766
2476,200012,1635814
2477,200012,1739290
2478,200012,2451792
2480,200012,1592036
2481,200012,1866053
2482,200012,547143
2483,200012,1231949
2484,200012,2103618
2485,200012,1704780
2486,200012,664480
2488,200012,1353250
2489,200012,3946421
2491,200012,9830470
2492,200012,7227749
2493,200012,1703047
2495,200012,1028560
2496,200012,604659
2497,200012,765588
2498,200012,1683690
2501,200012,20733337
2504,200012,12590001
2505,200012,3057789
2506,200012,15292796
2509,200012,2378912
2511,200012,9938196
