firm,time,RD
1101,200012,
1102,200012,
1103,200012,
1104,200012,0
1108,200012,0
1109,200012,
1110,200012,0
1201,200012,63947
1203,200012,
1210,200012,
1213,200012,0
1215,200012,0
1216,200012,259486
1217,200012,17279
1218,200012,0
1219,200012,20677
1220,200012,0
1225,200012,0
1227,200012,31793
1229,200012,8781
1231,200012,0
1232,200012,3782
1233,200012,0
1234,200012,
1235,200012,6465
1236,200012,0
1301,200012,207661
1303,200012,0
1304,200012,0
1305,200012,0
1307,200012,56051
1308,200012,0
1309,200012,0
1310,200012,20433
1312,200012,0
1313,200012,
1314,200012,44448
1315,200012,0
1316,200012,36545
1319,200012,122036
1321,200012,0
1323,200012,27601
1324,200012,0
1325,200012,
1326,200012,431297
1402,200012,147006
1409,200012,
1410,200012,11724
1413,200012,0
1414,200012,0
1416,200012,0
1417,200012,0
1418,200012,
1419,200012,1221
1423,200012,0
1432,200012,
1434,200012,2671
1435,200012,0
1436,200012,0
1437,200012,0
1438,200012,0
1439,200012,0
1440,200012,102276
1441,200012,7034
1442,200012,0
1443,200012,0
1444,200012,33664
1445,200012,4862
1446,200012,0
1447,200012,37011
1449,200012,0
1451,200012,17701
1452,200012,0
1453,200012,
1454,200012,0
1455,200012,0
1456,200012,75826
1457,200012,7164
1459,200012,0
1460,200012,116341
1463,200012,40775
1464,200012,52667
1465,200012,8732
1466,200012,42354
1467,200012,
1468,200012,71094
1470,200012,0
1471,200012,8247
1472,200012,
1473,200012,26920
1474,200012,5875
1475,200012,53486
1476,200012,19477
1477,200012,0
1503,200012,240980
1504,200012,413056
1506,200012,12375
1512,200012,0
1513,200012,81386
1514,200012,44142
1515,200012,59644
1516,200012,30000
1517,200012,64092
1519,200012,62909
1521,200012,89508
1522,200012,176516
1524,200012,7380
1525,200012,25024
1526,200012,29078
1527,200012,59635
1528,200012,45329
1529,200012,8095
1530,200012,20091
1531,200012,44178
1532,200012,0
1533,200012,48142
1535,200012,0
1536,200012,35008
1537,200012,14919
1538,200012,68724
1539,200012,19446
1540,200012,14879
1541,200012,16657
1558,200012,0
1560,200012,50075
1568,200012,
1582,200012,
1583,200012,9879
1603,200012,0
1604,200012,
1605,200012,
1608,200012,0
1609,200012,20586
1611,200012,31521
1612,200012,21040
1614,200012,57835
1615,200012,1749
1616,200012,12710
1617,200012,
1618,200012,0
1701,200012,111963
1702,200012,14309
1707,200012,99117
1708,200012,0
1709,200012,1486
1710,200012,30337
1711,200012,187103
1712,200012,129096
