firm,ratio
2603.TW,9.31
3293.TWO,3.51
2303.TW,3.14
5483.TWO,3.14
4938.TW,2.99
2454.TW,2.96
2404.TW,2.9
6488.TWO,2.9
3711.TW,2.71
3034.TW,2.65
2301.TW,2.55
2385.TW,2.5
2891.TW,2.49
6121.TW,2.36
3706.TW,2.33
5347.TW,2.27
1216.TW,2.18
6139.TW,2.17
2382.TW,2.09
6239.TW,2.03
1504.TW,2
1319.TW,2
6414.TW,2
6147.TW,1.86
3264.TW,1.76
5388.TW,1.58
2474.TW,1.56
3042.TW,1.52
3596.TW,1.44
2352.TW,1.42
5876.TW,1.38
3702.TW,1.36
9921.TW,1.36
4915.TW,1.3
3005.TW,1.25
6285.TW,1.03
6257.TW,1.01
9904.TW,1
3014.TW,0.99
1785.TW,0.75
8016.TW,0.7
5469.TW,0.61
8150.TW,0.6
6605.TW,0.49
6191.TW,0.48
2027.TW,0.45
6146.TW,0.43
6176.TW,0.4
1723.TW,0.3
3704.TW,0.23
