firm,time,sg
1101,201301,28.2
1102,201301,55.1
1103,201301,-18.85
1104,201301,52.5
1108,201301,68.33
1109,201301,57.59
1110,201301,55.53
1201,201301,13.15
1203,201301,17.75
1210,201301,16.14
1213,201301,-12.6
1215,201301,11.27
1216,201301,20.65
1217,201301,10.92
1218,201301,20.1
1219,201301,22.74
1220,201301,13.33
1225,201301,26.24
1227,201301,35.78
1229,201301,23.07
1231,201301,43.07
1232,201301,41.49
1233,201301,-14.32
1234,201301,3.84
1235,201301,-16.76
1236,201301,54.85
1301,201301,22.57
1303,201301,16.85
1304,201301,13.69
1305,201301,-3
1307,201301,37.82
1308,201301,25.49
1309,201301,32.96
1310,201301,-25.3
1312,201301,-5.87
1313,201301,57.53
1314,201301,-21.12
1315,201301,-0.89
1316,201301,18.67
1319,201301,31.51
1321,201301,59.24
1323,201301,30.63
1324,201301,26.18
1325,201301,14.33
1326,201301,10.11
1339,201301,53.6
1402,201301,5.67
1409,201301,17.38
1410,201301,34.95
1413,201301,43.19
1414,201301,-2.48
1416,201301,-34.25
1417,201301,-8.33
1418,201301,-29.99
1419,201301,-15.19
1423,201301,11.64
1432,201301,-42.07
1434,201301,-0.9
1435,201301,2.84
1436,201301,-18.29
1437,201301,20.31
1438,201301,2683.65
1439,201301,-29.18
1440,201301,36.14
1441,201301,12.17
1442,201301,-46.1
1443,201301,37.42
1444,201301,18.16
1445,201301,1.62
1446,201301,91.83
1447,201301,12.8
1449,201301,45.18
1451,201301,23.79
1452,201301,26.51
1453,201301,89.91
1454,201301,6.35
1455,201301,-0.28
1456,201301,-55.04
1457,201301,-18.75
1459,201301,68.92
1460,201301,6.76
1463,201301,130.42
1464,201301,21.67
1465,201301,36.61
1466,201301,-7.61
1467,201301,12.16
1468,201301,13.42
1470,201301,31.2
1471,201301,14.14
1472,201301,-11.22
1473,201301,-11.3
1474,201301,33.59
1475,201301,-20.84
1476,201301,55.18
1477,201301,-0.4
1503,201301,5.25
1504,201301,33.23
1506,201301,-8.81
1512,201301,13.11
1513,201301,-3.89
1514,201301,14.09
1515,201301,52.93
1516,201301,95.68
1517,201301,33.78
1519,201301,153.64
1521,201301,3.23
1522,201301,33.86
1524,201301,8.07
1525,201301,-7.49
1526,201301,49.98
1527,201301,-18.47
1528,201301,20.22
1529,201301,45.59
1530,201301,-16.29
1531,201301,1.94
1532,201301,12.94
1533,201301,5.3
1535,201301,81.78
1536,201301,12.43
1537,201301,32.19
1538,201301,-6.98
1539,201301,42.2
1540,201301,-52.43
1541,201301,-30.18
1558,201301,30.79
1560,201301,10.49
1568,201301,17.59
1582,201301,24.47
1583,201301,-11.93
1587,201301,9.45
1597,201301,11.13
1598,201301,31.41
1603,201301,31.53
1604,201301,-1.71
1605,201301,16.74
1608,201301,58.06
1609,201301,54.99
1611,201301,-9.65
1612,201301,11.87
1614,201301,-37.26
1615,201301,3.12
1616,201301,-10.76
1617,201301,27.42
1618,201301,107.81
1701,201301,11.91
1702,201301,25.38
1707,201301,38.8
1708,201301,34.52
1709,201301,10.36
1710,201301,21.83
1711,201301,35.03
1712,201301,37.38
1713,201301,54.99
1714,201301,11.96
1717,201301,52.18
1718,201301,15.88
1720,201301,14.02
1721,201301,99.89
1722,201301,52.16
1723,201301,1.96
1725,201301,22.12
1726,201301,37.8
1727,201301,23.47
1730,201301,14.66
1731,201301,21
1732,201301,12.27
1733,201301,17.98
1734,201301,24.74
1735,201301,82.24
1736,201301,5.74
1737,201301,22.06
1752,201301,28.12
1760,201301,86.55
1762,201301,204.22
1773,201301,12.78
1776,201301,66.89
1783,201301,67.53
1786,201301,85.97
1789,201301,37.02
