firm,name,time,shares
1101,台泥,20240510,7551182
1102,亞泥,20240510,3546563
1103,嘉泥,20240510,790247
1104,環泥,20240510,673217
1108,幸福,20240510,404738
1109,信大,20240510,341159
1110,東泥,20240510,572001
1201,味全,20240510,506063
1203,味王,20240510,240000
1210,大成,20240510,894767
1213,大飲,20240510,56623
1215,卜蜂,20240510,294790
1216,統一,20240510,5682015
1217,愛之味,20240510,494513
1218,泰山,20240510,499999
1219,福壽,20240510,331663
1220,台榮,20240510,177078
1225,福懋油,20240510,229638
1227,佳格,20240510,915090
1229,聯華,20240510,1583740
1231,聯華食,20240510,246657
1232,大統益,20240510,159975
1233,天仁,20240510,90592
1234,黑松,20240510,401871
1235,興泰,20240510,149665
1236,宏亞,20240510,86674
1240,茂生農經,20240510,39370
1256,鮮活果汁-KY,20240510,33842
1259,安心,20240510,32390
1264,德麥,20240510,37064
1268,漢來美食,20240510,42224
1301,台塑,20240510,6365741
1303,南亞,20240510,7930822
1304,台聚,20240510,1188764
1305,華夏,20240510,581050
1307,三芳,20240510,397818
1308,亞聚,20240510,593744
1309,台達化,20240510,397587
1310,台苯,20240510,527870
1312,國喬,20240510,1106620
1313,聯成,20240510,1366221
1314,中石化,20240510,3784850
1315,達新,20240510,99099
1316,上曜,20240510,299996
1319,東陽,20240510,591477
1321,大洋,20240510,227228
1323,永裕,20240510,91275
1324,地球,20240510,75122
1325,恒大,20240510,85281
1326,台化,20240510,5861186
1336,台翰,20240510,78302
1337,再生-KY,20240510,268955
1338,廣華-KY,20240510,83840
1339,昭輝,20240510,74124
1340,勝悅-KY,20240510,152923
1341,富林-KY,20240510,52851
1342,八貫,20240510,71345
1402,遠東新,20240510,5352875
1409,新纖,20240510,1618409
1410,南染,20240510,63000
1413,宏洲,20240510,132112
1414,東和,20240510,220000
1416,廣豐,20240510,185342
1417,嘉裕,20240510,189942
1418,東華,20240510,56834
1419,新紡,20240510,300041
1423,利華,20240510,99648
1432,大魯閣,20240510,90000
1434,福懋,20240510,1684665
1435,中福,20240510,139780
1436,華友聯,20240510,101784
1437,勤益控,20240510,203371
1438,三地開發,20240510,91206
1439,雋揚,20240510,92000
1440,南紡,20240510,1656816
1441,大東,20240510,69382
1442,名軒,20240510,366211
1443,立益物流,20240510,135343
1444,力麗,20240510,995595
1445,大宇,20240510,130666
1446,宏和,20240510,137710
1447,力鵬,20240510,910071
1449,佳和,20240510,85210
1451,年興,20240510,206210
1452,宏益,20240510,132641
1453,大將,20240510,106742
1454,台富,20240510,129834
1455,集盛,20240510,531688
1456,怡華,20240510,93720
1457,宜進,20240510,301648
1459,聯發,20240510,358629
1460,宏遠,20240510,694643
1463,強盛,20240510,173268
1464,得力,20240510,407640
1465,偉全,20240510,103607
1466,聚隆,20240510,111157
1467,南緯,20240510,233625
1468,昶和,20240510,160405
1470,大統新創,20240510,85767
1471,首利,20240510,150415
1472,三洋實業,20240510,42488
1473,台南,20240510,146154
1474,弘裕,20240510,129897
1475,業旺,20240510,66017
1476,儒鴻,20240510,274367
1477,聚陽,20240510,241857
1503,士電,20240510,520972
1504,東元,20240510,2138797
1506,正道,20240510,300389
1512,瑞利,20240510,98183
1513,中興電,20240510,503113
1514,亞力,20240510,260138
1515,力山,20240510,181474
1516,川飛,20240510,38820
1517,利奇,20240510,225685
1519,華城,20240510,261059
1521,大億,20240510,76230
1522,堤維西,20240510,312898
1524,耿鼎,20240510,165310
1525,江申,20240510,73400
1526,日馳,20240510,60000
1527,鑽全,20240510,138571
1528,恩德,20240510,191331
1529,樂事綠能,20240510,150578
1530,亞崴,20240510,96594
1531,高林股,20240510,183608
1532,勤美,20240510,378896
1533,車王電,20240510,98547
1535,中宇,20240510,123743
1536,和大,20240510,279518
1537,廣隆,20240510,82063
1538,正峰,20240510,53839
1539,巨庭,20240510,65370
1540,喬福,20240510,85474
1541,錩泰,20240510,78800
1558,伸興,20240510,66536
1560,中砂,20240510,145081
1565,精華,20240510,50417
1568,倉佑,20240510,103087
1569,濱川,20240510,121447
1570,力肯,20240510,51501
1580,新麥,20240510,50230
1582,信錦,20240510,142970
1583,程泰,20240510,110400
1584,精剛,20240510,192471
1586,和勤,20240510,86312
1587,吉茂,20240510,68624
1589,永冠-KY,20240510,118136
1590,亞德客-KY,20240510,200000
1591,駿吉-KY,20240510,34798
1593,祺驊,20240510,39785
1595,川寶,20240510,47875
1597,直得,20240510,89262
1598,岱宇,20240510,159610
1599,宏佳騰,20240510,74529
1603,華電,20240510,191688
1604,聲寶,20240510,384200
1605,華新,20240510,4031333
1608,華榮,20240510,632774
1609,大亞,20240510,736816
1611,中電,20240510,322736
1612,宏泰,20240510,316080
1614,三洋電,20240510,269113
1615,大山,20240510,163723
1616,億泰,20240510,194149
1617,榮星,20240510,157827
1618,合機,20240510,192692
1626,艾美特-KY,20240510,152822
1701,中化,20240510,298081
1702,南僑,20240510,294133
1707,葡萄王,20240510,148137
1708,東鹼,20240510,249002
1709,和益,20240510,477016
1710,東聯,20240510,885703
1711,永光,20240510,547752
1712,興農,20240510,420493
1713,國化,20240510,150952
1714,和桐,20240510,1016825
1717,長興,20240510,1178265
1718,中纖,20240510,1685906
1720,生達,20240510,178696
1721,三晃,20240510,184884
1722,台肥,20240510,980000
1723,中碳,20240510,236904
1725,元禎,20240510,181830
1726,永記,20240510,162000
1727,中華化,20240510,123939
1730,花仙子,20240510,63234
1731,美吾華,20240510,132915
1732,毛寶,20240510,42444
1733,五鼎,20240510,99950
1734,杏輝,20240510,167722
1735,日勝化,20240510,99388
1736,喬山,20240510,303617
1737,臺鹽,20240510,200000
1742,台蠟,20240510,93559
1752,南光,20240510,100988
1760,寶齡富錦,20240510,85739
1762,中化生,20240510,77560
1773,勝一,20240510,250000
1776,展宇,20240510,60107
1777,生泰,20240510,44592
1781,合世,20240510,47408
1783,和康生,20240510,89070
1784,訊聯,20240510,49627
1785,光洋科,20240510,596202
1786,科妍,20240510,68289
1788,杏昌,20240510,44521
1789,神隆,20240510,790739
1795,美時,20240510,264958
1796,金穎生技,20240510,41460
1799,易威,20240510,121866
1802,台玻,20240510,2908061
1805,寶徠,20240510,100186
1806,冠軍,20240510,390404
1808,潤隆,20240510,451026
1809,中釉,20240510,167042
1810,和成,20240510,302304
1813,寶利徠,20240510,46636
1815,富喬,20240510,460927
1817,凱撒衛,20240510,72600
1903,士紙,20240510,260039
1904,正隆,20240510,1108275
1905,華紙,20240510,1102835
1906,寶隆,20240510,151000
1907,永豐餘,20240510,1660371
1909,榮成,20240510,1327686
2002,中鋼,20240510,15734861
2006,東和鋼鐵,20240510,730214
2007,燁興,20240510,530652
2008,高興昌,20240510,190852
2009,第一銅,20240510,359622
2010,春源,20240510,647655
2012,春雨,20240510,302163
2013,中鋼構,20240510,200000
2014,中鴻,20240510,1435544
2015,豐興,20240510,581599
2017,官田鋼,20240510,446875
2020,美亞,20240510,222526
2022,聚亨,20240510,337168
2023,燁輝,20240510,1945311
2024,志聯,20240510,97500
2025,千興,20240510,281167
2027,大成鋼,20240510,2434261
2028,威致,20240510,325715
2029,盛餘,20240510,321180
2030,彰源,20240510,280526
2031,新光鋼,20240510,321146
2032,新鋼,20240510,130522
2033,佳大,20240510,80695
2034,允強,20240510,470226
2035,唐榮,20240510,350000
2038,海光,20240510,190328
2049,上銀,20240510,353792
2059,川湖,20240510,95297
2061,風青,20240510,47108
2062,橋椿,20240510,199994
2063,世鎧,20240510,49601
2064,晉椿,20240510,69630
2065,世豐,20240510,56884
2066,世德,20240510,42223
2067,嘉鋼,20240510,45138
2069,運錩,20240510,166387
2070,精湛,20240510,35783
2073,雄順,20240510,27500
2101,南港,20240510,833935
2102,泰豐,20240510,473329
2103,台橡,20240510,825710
